ID_Perfume,perfume,brand,is_lokal,Notes
HRMN-0156,Out West,Alchemist Fragrance,True,"yuzu, bergamot, green apple, cedarwood, rose, plum, musk, patchouli, vetiver"
HRMN-0157,Home Garden,Alchemist Fragrance,True,"blackberry, grapefruit, clove, cedar, vetiver, floral notes"
HRMN-0158,Got My Mojo Back,Alchemist Fragrance,True,"bergamot, saffron, rose, jasmine, sandalwood, amber, musk, patchouli"
HRMN-0159,LET'S FREAKING GO,Memoir Perfumery,True,"lavender, bergamot, magnolia, myrrh, amber, guaiac wood, tonka bean, vanilla, almond"
HRMN-0160,Weekend,Filosophia,True,"lime, apple, red lily, lavender, ginger, vanilla"
HRMN-0161,Fly Me To The Moon,Filosophia,True,"orange, bergamot, saffron, white floral, rum, seasalt, nutmeg, warm leather accord, black amber, cedarwood, patchouli, vetiver"
HRMN-0162,Bella Luna,Filosophia,True,"fresh berries, plum, green apple, jasmine, orchid, lily, caramel, vanilla"
HRMN-0163,Party Anthem Royale,Filosophia,True,"lavender, lemon, violet, cypress, ambroxan, oud, coffee, tonka bean, deer musk"
HRMN-0164,Party Anthem,Filosophia,True,"passion fruit, bergamot, cocktails, mint, pear, lavender, leather"
HRMN-0165,Bed of Roses,Filosophia,True,"bergamot, pomelo, rose, magnolia, violet, cedar, musk"
HRMN-0166,Party Anthem Weirdo,Filosophia,True,"tobacco, clove, roasted marshmallow, almond, vanilla"
HRMN-0167,Beach Walk,Filosophia,True,"sea notes, coconut, pineapple, sugarcane, bamboo, sandalwood, sand"
HRMN-0168,CHNO,SAFF & Co,True,"pink pepper, orange blossom, pear, coffee, jasmin, bitter almond, licorice, vanilla, patchouli, cedar, cashmere wood"
HRMN-0169,LOUI,SAFF & Co,True,"verbena, green, aldehydic, rose, peony, lily of the valley, cedarwood, musk"
HRMN-0170,COCO,SAFF & Co,True,"citrus, floral, green, marine, woody, musky, oriental"
HRMN-0171,Cascavel,SAFF & Co,True,"saffron, orange blossom, jasmine, violet, lily of the valley, oakmoss, ambergris"
HRMN-0172,MALEALI,SAFF & Co,True,"bush juniper, tellicherry pepper, palo santo a.k.a the tree of life, red sandalwood, nagarmotha, sulawesi patchouli"
HRMN-0173,Minouet,SAFF & Co,True,"starkrimson, galbanum, roseraie de l'hay, bigarade orange, iris pallida, cashmere wood, fior di latte, ambergris"
HRMN-0174,SAFF,SAFF & Co,True,"bergamot, mandarin, saffron, ylang, lily of the valley, jasmine/white floral, dryamber, leathery, musk"
HRMN-0175,MORFOSIA,SAFF & Co,True,"rhubarb, yuzu, elletaria, shogayu, narcissus, cape jasmine, amber, red cedar, haiti vetiver"
HRMN-0176,IRAI LEIMA,SAFF & Co,True,"cassis bud, dalanghita, pink peppercorn, duchesse de nemours, water iris, raat ki rani, ambrette, ancient waters"
HRMN-0177,ILIAD,SAFF & Co,True,"pink peppercorn, peony, muguet, ylang ylang, iris, hedione, amber, cashmeran, patchouli"
HRMN-0178,XOCOLATL,SAFF & Co,True,"mandarin, pear, apple, heliotrope, plumeria, maltol, gardenia, coconut, musk, sandalwood"
HRMN-0179,LAS POZAS,SAFF & Co,True,"datura a.k.a the angel's trumpet, sumatran benzoin & nutmeg, cashmeran, cedar, sandalwood"
HRMN-0180,Solaris,SAFF & Co,True,"bergamot, mandarin, violet leaves, orris, freesia, cedarwood, vetiver, amber, tonka bean"
HRMN-0181,OSTARA,SAFF & Co,True,"raspberry. passionfruit, pear, cassis buds, lily of the valley, amber, patchouli, heliotrope"
HRMN-0182,S. O. T. B,SAFF & Co,True,"mandarin, galbanum, ylang, tuberose, jasmine, orange flower, vanilla, tonka bean, musk"
HRMN-0183,OMNIA,SAFF & Co,True,"grapefruit, green notes, rose, floral, iris, woody, heliotrope, musk"
HRMN-0184,TROUPE,SAFF & Co,True,"citrus/fresh, pear, rose, orange blossom, freesia, patchouli, musky, amber"
