perfume,brand,top notes,mid notes,base notes
Arsenal,Gilles Cantuel,"Galbanum, Bergamot, Lemon, Mandarin Orange","Neroli, Lavender, Anise, Violet Leaf","Woody Notes, Vetiver, Incense"
Rose Pompon Eau De Parfum,Goutal,"Raspberry, Grapefruit","Damask Rose, Violet",Vanilla
Dazzle,Hinode,"Cherry, Raspberry, Red Fruits, Strawberry, Bergamot","Jasmine, Orange Blossom, Rose","Sandalwood, Amber, Tonka Bean, Musk, Vanilla"
Forbidden,House of Matriarch,"Wormwood, Cannabis, Absinthe, Lantana Leaves","Tuberose, Boletus Edulis, Cypriol Oil or Nagarmotha, Papyrus, Turnera Diffusa (damiana), Pepper","Precious Woods, Soil Tincture, Leather"
She,House of Matriarch,"Lemongrass, Lemon Verbena, Beeswax, Lemon Blossom, Tonka Bean, White Flowers, Bergamot","Smoke, Tea, Milk, Copal, Broom","Agarwood (oud), Tolu Balsam, Ambrette (musk Mallow), Guaiac Wood"
Le Temps De Reines,Id Parfums,"Geranium, Spices",Patchouli,"Sandalwood, Benzoin"
Perfect Amber,Jardin De Parfums,"Honey, Rum","Cinnamon, Amber, Labdanum","Tonka Bean, Caramel, Vanilla"
Lagerfeld Men,Karl Lagerfeld,"Lavender, Yuzu","Cedar, White Woods, Cinnamon","Musk, Amber, Vetiver"
Big Pink Bow,Koto Parfums,"Pineapple, Coconut","Gardenia, Honeysuckle, Frangipani, Tiare Flower","Vanilla, Leather"
Tunisian Opium,Kuumba Made,Spicy Notes,White Flowers,"Patchouli, Woody Notes"
Mira,Korres,Ginger,White Rose,Musk
Bois Flotte Eau De Parfum,L Occitane En Provence,"Red Algae, Seagrass, Rosemary, Green Leaves","Sea Salt, Driftwood, Nutmeg","Cedar, Moss, Vetiver"
Roses Et Reines,L Occitane En Provence,"Bergamot, Cassia","Bulgarian Rose, Grasse Rose, Turkish Rose, Moroccan Rose, Raspberry, Blackberry","Musk, Heliotrope, White Cedar Extract"
Fleurs De Cerisier Happy Cherry Eau De Toilette,L Occitane En Provence,"Lemon, Watermelon","Cherry Blossom, Cherry, Rose, Black Currant, Violet",Woodsy Notes
Cedre Oranger,L Occitane En Provence,"Orange, Pine Needles, Bergamot","Virginian Cedar, Cardamom, Red Berries","Vetiver, Musk"
Bresil Aconchego,L Occitane Au Bresil,"Orange, Bergamot, Red Fruits","Lavender, Rose, Freesia","Musk, Patchouli, Amber"
Amburana,L Occitane Au Bresil,"Carambola (star Fruit), Nutmeg, Mandarin Orange","Gardenia, Cinnamon, Citrus Blossom, Tuberose","Sandalwood, Musk, Vanilla, Styrax"
Scandinavian Crime,Laurent Mazzone Parfums,"Cardamom, Pepper, Ginger, Coriander","Agarwood (oud), Patchouli, Sandalwood","Incense, Amber, Labdanum, Vanila, Musk"
Red D Amour,Laurent Mazzone Parfums,"Cherry, Saffron, Black Pepper","Black Leather, Violet, Jasmine","Tonka Bean, Palo Santo, Patchouli, Heliotrope"
Route Du Vetiver,Maitre Parfumeur Et Gantier,"Black Currant, Green Notes","Vetiver, Woodsy Notes, Jasmine","Sandalwood, Musk"
Santal Noble 2017,Maitre Parfumeur Et Gantier,"Coffee, Spices, Incense","Sandalwood, Vetiver, Patchouli, Vanilla","Castoreum, Oakmoss, Ambergris"
Eau Du Gantier,Maitre Parfumeur Et Gantier,"Amalfi Lemon, Grapefruit, Bergamot","Lemon Verbena, Black Currant, Raspberry","Musk, Sandalwood"
Fava Tonka Chocolate,Maracuja Brasil,"Black Pepper, Sage, Bergamot","Patchouli, Sandalwood, Orchid, Carnation","Chocolate, Tonka Bean, Tobacco, Musk, Amber"
Oud,Mine Perfume Lab,Agarwood (oud),Agarwood (oud),Agarwood (oud)
Moxi,Mirko Buffini Firenze,"White Wine, Bergamot","Water Lily, Rose Petals","Musk, Sandalwood, Amber"
Eau De Citrus,Molinard,"Lime, Grapefruit, Mandarin Orange, Bergamot","Orange Blossom, Petitgrain, White Flowers","Tea Leaf, White Musk, Guaiac Wood"
Bracing Silverbirch,Molton Brown,"Nutmeg, Cardamom, Bergamot, Lemon","Caraway, Jasmine","Vetiver, Cedar, Incense"
Maharadjah,Nicolai Parfumeur Createur,"Coriander, Mint","Lavender, Cinnamon, Cloves, Carnation","Sandalwood, Vanille, Patchouli"
New York,Nicolai Parfumeur Createur,"Amalfi Lemon, Bergamot, Thyme, Artemisia","Lavender, Cinnamon, Cloves, Chamomile","Vanilla, Incense, Civet, Styrax, Castoreum, Musk"
Vie De Chateau,Nicolai Parfumeur Createur,"Grass, Green Notes, Grapefruit, Fern","Hay, Tobacco, Vetyver","Oak Moss, Leather, Patchouli, Musk"
Vie De Chateau Intense,Nicolai Parfumeur Createur,"Thyme, Tarragon, Grapefruit, Bergamot",Jasmine,"Hay, Oakmoss, Resins, Tobacco, Vetiver, Pine Tree, Patchouli, Musk"
Perdizione,Nobile 1942,"Bergamot, Grapefruit, Lavender","Orange Blossom, Neroli, Ylang-ylang, Petitgrain, Rose","Vanilla, Cedar, Musk"
Moriah,Nuancielo,"Bitter Almond, Sour Cherry, Liquor","Plum, Jasmine Sambac, Turkey Red Rose","Tonka Bean, Vanilla, Cinnamon, Cloves, Sandalowood, Peru Balsam, Cedar, Benzoin, Vetiver, Patchouli"
Un Jour a St Jean De Luz,Parfums Et Senteurs Du Pays Basque,"Orange, Mandarin Orange, Grapefruit","Cinnamon, Vanilla, Saffron, Coconut","Gingerbread, Ginger, Honey, Almond, Marron Glace, Marzipan, Macarons"
Paul Smith Rose,Paul Smith,"Rose, Green Tea, Violet","Turkish Rose, Magnolia","Musk, Cedar"
Vodka Wild,Paris Elysees,"Bergamot, Orange","Pepper, Black Pepper, Lavender, Patchouli, Vetiver, Elemi, Geranium","Ambroxan, Cedar, Labdanum"
The Fantaisie,Roger Gallet,"Lemon, Mandarin Orange, Orange, Cardamom, Pine Tree, Coriander, Geranium","Black Tea, Pink Pepper, Nutmeg, Clary Sage, Palmarosa","Cedar, Vetiver, Benzoin, Sandalwood, Copahu Balm, Cypriol Oil or Nagarmotha"
Oud Al Melka,Royal Crown,"Saffron, Sage, Cedar, Juniper, Cardamom","Ylang-ylang, Moroccan Rose, Jasmine Sambac","Agarwood (oud), Olibanum, Gray Musk, Musk, Tonka Bean, Labdanum"
Stella Summer Rose,Stella Mccartney,"Green Apple, Lemon","Rose, Peony",Amber
Women Secret,Women Secret,"Blood Mandarin, Grapefruit, Red Apple","Red Peony, Jasmine, Yellow Freesia","Cinnamon, Sandalwood, Cotton Flower"
Chairman,Yves De Sistelle,"Spun Sugar, Apple, Basil, Bergamot","Cinnamon, Leather","Bourbon Vanilla, Amber, Patchouli, Cedar"
Modern Minimalist,H M,"Cotton Flower, Eucalyptus, Citruses","Lily-of-the-valley, Rose, Jasmine","Cashmere Wood, White Musk, Sandalwood, Amber"
H M Makassar Patchouli,H M,"Lavender, Violet Leaf, Citruses","Woodsy Notes, Violet, Jasmine","Patchouli, Vanilla, Amber"
Uomo,Lorenzo Villoresi,"Amalfi Lemon, Bay Leaf, Bergamot, Lavender, Orange, Coriander, Petitgrain, Elemi","Sage, Clove, Pepper, Thyme, Neroli, Juniper","Vetiver, Rosemary, Oakmoss, Sandalwood, Cedar, Patchouli, Musk, Brazilian Rosewood"
I,Widian,"Cardamom, Cinnamon","Cypress, Incense, Sandalowood","Cedar, Musk"
San Bernardino Route 66,Viking,"Whiskey, Grapefruit, Pink Pepper, Bergamot","Cardamom, Chinese Cinnamon Wood, Red Sandalwood, Lavender","Tonka Bean, Vanilla, Labdanum, Oak Tree"
Princess of Hearts,Vera Wang,"Watermelon, Wild Strawberry, Bergamot","Lily-of-the-valley, Star Jasmine","Whipped Cream, Vanilla, Musk, Cedar"
Colette,Tocca,"Amalfi Lemon, Bergamot, Juniper Berries, Mandarin Orange","Violet, Pink Pepper, Jasmine, Cyclamen","Vanille, Sandalwood, Musk, Amber, Virginia Cedar, Incense, Pine Needles"
White Soul Gold Diamonds,Ted Lapidus,"Neroli, Mandarin Orange","Jasmine Sambac, Orange Blossom","Amber, Vanilla Orchid, Heliotrope"
Disclosure,Sapil,Citruses,Woody Notes,Musk
Lavanda Imperiale,Santa Maria Novella,"Bergamot, Ylang-ylang",Lavender,Grass
Arabica,Phebo,"Coffee, Bergamot, Lemon","Coffee, Sandalwood, Lily-of-the-valley","Cedar, Amber, Musk"
Maia,Phebo,"Cacao, Milk, Liquor","Cacao, Jasmine, Lily-of-the-valley","Coumarin, Musk, Cedar"
Seta,Moresque,"Saffron, Bergamot, Lemon","Myrrh, Ylang-ylang","Vanilla, Amber, Sandalwood, Benzoin"
White Neroli,Mizensir,"Tunisian Neroli, Calabrian Bergamot",Orange Blossom,"White Musk, Incense"
Blue Ridge,Michael Malul London,"Citron, Italian Mandarin, Black Currant","Ozonic Notes, Lavender, Cedar Needles","Sandalwood, Patchouli, Leather"
Black Avaritia,Memoize London,"Honey, Grapefruit","Labdanum, Agarwood (oud), Incense, Cashmere Wood, Ambrette (musk Mallow), Violet","Amber, Cedar, Sandalwood, Vanilla, Musk, Powdery Notes, Vetiver"
Era,Memoize London,Saffron,"Iris, Ylang-ylang, Jasmine","Leather, Amber, Agarwood (oud), Myrrh"
Mauboussin Homme,Mauboussin,"Lavender, Rosemary, Bergamot","Cinnamon, Patchouli, Sage","Vanilla, Sandalwood, Musk"
Oriental Soul,Majouri,"Olibanum, Basil","Vanilla, Rose","Amber, Kyara Incense, Agarwood (oud)"
Lumiere D Ambre,Laura Mercier,"Lotus, Pink Pepper, Mandarin Orange","Vanilla Orchid, Rose, Jasmine","Amber, Musk"
Shamachanskaya Tzarica Samahanskaa Carica,Ladanika,"Plum, Apricot, Geranium","Cinnamon, Dried Plum, Hazelnut","Amber, Myrrh, Vanilla, Tonka Bean, Benzoin, Labdanum, Patchouli, Musk"
Joop Go Electric Heat,Joop,"Lavender, Lime, Mint","Licorice, Violet","Saffron, Cedar"
Relax Eau De White Floral,Jill Stuart,"Big Strawberry, Black Currant, Orange, Lime, Grapefruit, Lemon, Peach, Bergamot","Jasmine, Lily-of-the-valley, Orange Blossom, Rose, Lily, Geranium, Rosemary, Ylang-ylang, Basil","Vetiver, Amber, Cedar, Musk"
Rebeca Abravanel,Jequiti,"Red Fruits, Orchid, Apple","Jasmine, Caramel, Ylang-ylang","Vanilla, Musk, Amber"
Collection Heritage Que Sais Je,Jean Patou,"Peach, Orange Blossom, Apricot, Bergamot","Carnation, Rose, Jasmine","Honey, Patchouli, Amber"
Bianco D Ambra,Helan,"Amber, Nutmeg","Amber, Iris","Amber, Oakmoss"
Halston Night,Halston,"Green Notes, Peach","Rose, Tuberose","Moss, Woody Notes, Amber"
Halston Woman,Halston,"Tagetes, Black Currant, Bergamot","Jasmine, Orris Root, Rose","Amber, Patchouli, Sandalwood"
Dream More,Gap,"Tangerine, Osmanthus","Freesia, Orange Blossom, Asian Lily, Violet, Water Lily","Woody Notes, Musk, Carnation"
Heaven,Gap,"Green Leaves, Lemon, Orange Blossom","Jasmine, Lily-of-the-valley, Freesia, Carnation","Musk, Sandalwood, Moss"
Mensonge,Fragonard,"Bergamot, Grapefruit, Ginger, Cardamom","Caraway, Nutmeg, Jasmine, Clove, Rose, Celery Seeds","Lavender, Vetyver, Sandalwood, Virginia Cedar"
Iris,Fragonard,"Bergamot, Citron","Violet, Heliotrope","Iris, Tonka Bean"
Suivez Moi,Fragonard,"Lavender, Bergamot, Lime, Pineapple","Lily-of-the-valley, Orange, Iris","Vanilla, Musk, Amber"
Belle De Nuit Parfum,Fragonard,"Gardenia, Mirabilis, Ylang-ylang","Rose, Violet, Geranium","Plum, Musk, Woodsy Notes"
Rose Ambre,Fragonard,"Black Currant, Bergamot","Almond, Rose","Amber, Vanilla, Tonka Bean, Patchouli"
Santal,Fragonard,"Cypress, Green Mandarin, Lemon","Myrtle, Rosemary","Sandalwood, Musk"
Mon Oranger,Fragonard,"Orange Blossom, Violet Leaves, Bitter Orange","Broom, Mimosa, Cassis","Musk, Sandalwood"
Miss Fenjal Classic,Fenjal,"Bergamot, Orange","Rose, Jasmine","Patchouli, Cedar"
Club 6 Voyage,Eudora,"Black Pepper, Nutmeg, Bergamot, Mandarin Orange","Columbian Coffee, Rum, Ceylon Cinnamon, Oak, Rosemary, Artemisia","Caramel, Amber, Musk, Patchouli, Sandalwood, Cedar"
Colere D Epices,Esteban,"Cardamom, Ginger","Cyclamen, Heliotrope, Clove","Musk, Amber, Benzoin"
Vaniglia Piccante,Erbario Toscano,"Nutmeg, Caramel, Labdanum, Thyme, Eucalyptus","Incense, Sandalwood, Patchouli, Cedar, Peach Blossom","Vanilla, Amber, Allspice, White Musk"
L Orientale 2021,Eau Jeune,Pomegranate,"Peony, Jasmine","Tonka Bean, Myrhh"
Emperor Hind,Dixit Zak,"Pink Grapefruit, Jasmine Sambac, Lemon, Sweet Orange, Rose, Osmanthus","Champaca, Jasmine Sambac, Patchouli","Ambergris, Indian Oud, Myrrh, Musk, Choya Nakh, Hyrax, Sandalwood, Styrax, Civet, Olibanum, Amber, Saffron, Nard Himalayan (jatamansi)"
Summer Essence,David Yurman,"Apple Blossom, Pear, Peach","Hyacinth, Orchid, Lily-of-the-valley","Musk, Sandalwood, Amber"
Libertine Neroli,Francesca Bianchi,"Petitgrain, Bergamot","Tunisian Neroli, Iris, Geranium","Oakmoss, Labdanum, Leather, Animal Notes, Benzoin"
Mademoiselle Charrier,Charrier Parfums,"Plum, Star Anise, Coriander, Pimento","Rose, Cloves, Tuberose, Cinnamon","Opoponax, Amber, Sandalwood, Musk"
Acaciosa,Caron,"Jasmine, Orange Blossom, Ylang-ylang, Rose, Lily-of-the-valley","Jasmine, Orange Blossom, Sandalwood, Pineapple","Amber, Vanilla, Musk"
Intense Gold,Caline,"Mandarin Orange, Apple, Peppermint","Cinnamon, Nutmeg, Lavender, Rose","Tonka Bean, Amber, Cedar, Leather, Musk"
Brutal,Bybozo,"Tangerine, Lemon","Vetiver, Patchouli, Jasmine",Vanilla
Chypre Du Nord,Bortnikoff,"Bergamot, Orange","Peach, Nutmeg","Oakmoss, Birch Tar, Natural Musk, Benzoin, Tonka Bean, Cedar"
Tabac Dore,Bortnikoff,"Ambrette (musk Mallow), Vanilla Absolute, Pink Pepper","Tobacco, Benzoin, Cinnamon, Fig","Agarwood (oud), Peru Balsam, Tolu Balsam, Labdanum, Cedar, Sandalwood"
Vento Nel Vento,Bois 1920,"Elemi, Pink Pepper, Peony","Black Licorice, Incense, White Musk","Labdanum, Benzoin, Agarwood (oud), Sandalwood, Patchouli"
Portraits of Portofino,Birkholz,"Bergamot, Mandarin Orange, Lemon","Magnolia, Jasmine, White Flowers","Amber, Musk, Woody Notes"
Sublime,Avatim,"Plum, Litchi, Raspberry","Turkish Rose, Bulgarian Rose, Peony, Vanilla","Amber, Musk, Sandalwood, Cedar"
Seleto Herbo,Avatim,"Pomelo, Mint, Juniper, Lime, Iran Galbanum, Aquatic Notes, Violet Leaves","Saffron, Black Pepper, Violet Leaves","Vetiver, Amber, Musk, Frankincense, Patchouli, Tonka"
Eau D Aviateur,Atelier Flou,"Citruses, Bergamot, Orange","Petitgrain, Violet Leaf, Flowers","Civet, Tea, Musk, Sandalwood"
Historic Olmeda,Afnan,"Grapefruit, Juniper, Pink Pepper, Cardamom","Calabrian Bergamot, Cedar, Nutmeg, Jasmine","Apple, Ambergris, Musk, Patchouli"
Emir You Re Drugged,Paris Corner,"Cinnamon, Whiskey","Cardamom, Nutmeg","Coffee, Vanilla"
Eau De Soin,Lancaster,"Freesia, Bergamot","Orange Blossom, Neroli, Jasmine",White Musk
Amber Oud White Edition,Al Haramain Perfumes,"Bergamot, Orange","Jasmine, Rose, Freesia, Cyclamen","Patchouli, Musk, Vetiver, Vanilla"
Manege Rouge,Al Haramain Perfumes,"Saffron, Orange, Jasmine","Caramel, Cotton Candy","Oakmoss, Amber"
Italiano Nero,Armaf,"Bergamot, Lemon","Lavender, Cypress","Amber, Patchouli"
Mignon Black,Armaf,"Bergamot, Pear, Lemon","Jasmine, Lily, Neroli, Honeysuckle, Rose","Sandalwood, Vanilla, Musk"
Prowl,Avon,"Cardamom, Mandarin Orange","Geranium, Orchid, Jasmine, Pink Peony","Amber, Sandalwood, Patchouli"
Azzaro Pour Elle Extreme,Azzaro,"Cardamom, Saffron, Rose","Rose, Lily","Cashmere Wood, Agarwood (oud), Incense, Peach"
Wanted Girl by Night,Azzaro,"Whipped Cream, Rum",Night Blooming Cereus,Patchouli
Forever Sunshine,Bath Body Works,"Mandarin Orange, Apricot, Tangerine, Red Berries","Peony, Freesia, Gardenia","Vanille, Sandalwood, Musk"
Kaleidoscope,Bath Body Works,Pink Pepper,"Cedar, Iris, Black Pepper","Sandalwood, Vetiver, Patchouli"
Lavender Sandalwood,Bath Body Works,"Lavender, Lemon, Acai Berry","Pink Peony, White Magnolia, Iris Petals","Sandalwood, Musk, Vanilla, Amber"
Bleecker Street,Bond No 9,"Violet Leaf, Blueberry, Cassis, Thyme","Cedar, Jasmine, Cinnamon","Oakmoss, Suede, Patchouli, Amber, Vanilla, Caramel"
Rocker Femme Fantasy,Britney Spears,"Whipped Cream, Coconut, Blackberry","Gardenia, Violet, Jasmine","Vanilla, Cashmere Wood, Musk, Amber"
Goddess,Burberry,"Vanilla, Lavender, Cacao, Ginger",Vanilla Caviar,Vanilla Absolute
Jasmin Noir L Essence,Bvlgari,"Pink Pepper, Bergamot","Jasmine, Almond","Myrhh, Tonka Bean, Woodsy Notes, Licorice"
Yasep,Bvlgari,"Sicilian Mandarin, Sichuan Pepper","Sandalwood, Cedar","Amyris, Musk, Vetiver"
Casablanca Lily 2019,Byredo,"Gardenia, Plum","Indian Tuberose, Carnation","Honey, Palisander Rosewood"
La Panthere Eau De Parfum Edition Limitee,Cartier,"Dried Fruits, Strawberry, Rhubarb, Bergamot, Anise","Gardenia, Rose, Orange Blossom, Ylang-ylang, Pear","Moss, Musk, Leather, Patchouli"
Santos De Cartier,Cartier,"Lavender, Juniper Berries, Basil, Lemon Verbena, Bergamot, Galbanum, Neroli","Pepper, Nutmeg, Vetiver, Rosemary, Geranium, Cloves, Clary Sage","Sandalwood, Amber, Coconut, Patchouli, Vanilla, Cedar"
Une Fleur De Chanel,Chanel,"Green Notes, Citruses","Jasmine, Camellia",Sandalwood
Coco Mademoiselle Eau De Toilette,Chanel,"Orange, Bergamot, Grapefruit","Litchi, Rose, Italian Jasmine","Patchouli, Tahitian Vetiver, Bourbon Vanilla, White Musk"
Summer Sun,Clean,"Sea Notes, Clementine, Bergamot, Apple","Juniper Berries, Honeysuckle, Orange Blossom","Musk, White Woods, White Amber, Sandalwood"
Bois Du Portugal,Creed,Bergamot,Lavender,"Sandalwood, Cedar, Vetiver, Ambergris"
Spirit of the Glen,Ds Durga,"Pear, Pineapple, Grass","Oak, Chamomile, Hay","Malt, Oak, Coal, Woody Notes, Whiskey"
Cool Water Game Happy Summer,Davidoff,"Green Apple, Water Notes","Mango, Floral Notes, Daiquiri","Raspberry, Musk, Sandalwood, Moss"
Diorella,Dior,"Green Notes, Sicilian Lemon, Bergamot, Melon, Basil","Honeysuckle, Moroccan Jasmine, Peach, Carnation, Cyclamen, Rose","Oakmoss, Vetiver, Patchouli, Musk"
Forever and Ever,Dior,"Freesia, Water Jasmine, Ivy","Rose, Almond Blossom, Geranium","Nutmeg, Musk, Vanilla"
Remember Me,Dior,"Hiacynth, Yuzu, Bergamot","Lily-of-the-valley, Lilac, Mimosa, Violet, Jasmine","Iris, Cedar, Sandalwood"
Dior Addict Eau Fraiche 2004,Dior,"Orange Blossom, Mandarin Leaf, Mandarin Orange, Vanilla, Orange, Bergamot","Gardenia, Tuberose, Freesia, Jasmine, Bulgarian Rose","Tonka Bean, Brazilian Rosewood, Sandalwood"
Dune Pour Homme,Dior,"Fig Leaf, Cassis, Sage, Basil","Fig Wood Bark, Rose, Mignonette","Sandalwood, Cedar, Tonka Bean, Vanilla"
Grand Bal 2018,Dior,"Orange Blossom, Bergamot","Jasmine, Ylang-ylang, Peach, Hedione","White Musk, Sandalwood"
The One Gold Limited Edition,Dolce Gabbana,"Peach, Litchi, Mandarin Orange, Bergamot","Plum, Jasmine, Lily, Lily-of-the-valley","Vanilla, Amber, Musk, Vetiver, Moss"
Velvet Amber Skin,Dolce Gabbana,"Lavender, Citruses, Bergamot, Silk Tree Blossom","Resins, Iris, Labdanum, Leather, Rose, Jasmine","Tolu Balsam, Vanilla, Myrrh, Opoponax, Cinnamon, Amberwood, Honey, Clove"
Velvet Desire,Dolce Gabbana,"Frangipani, Gardenia, Amaryllis","Indian Tuberose, Champaca, Jasmine, Orange Blossom","Peru Balsam, Cinnamon, Vanilla, Amber"
Cabriole,Elizabeth Arden,"Pineapple, Aldehydes, Peach, Red Apple, Bergamot, Anise","Rose, Carnation, Jasmine, Violet","Beeswax, Sandalwood, Oak Moss, Virginia Cedar, Amber"
Escada Margaretha Ley,Escada,"Hyacinth, Peach, Coconut, Bergamot","Ylang-ylang, Jasmine, Clove, African Orange Flower, Iris","Sandalwood, Vanille, Musk"
Escada Sentiment Pour Homme,Escada,"Juniper Berries, Lime","Pink Pepper, Nutmeg","Sandalwood, Cedar, Vetiver"
Beautiful Absolu,Estee Lauder,"Tuberose, Marigold, Lily, Rose, Orange","Ylang-ylang, Orange Blossom, Jasmine, Lily-of-the-valley","Amber, Sandalwood, Vetiver"
Bronze Goddess Eau Fraiche Skinscent 2017,Estee Lauder,"Bergamot, Mandarin Orange, Orange, Lemon","Tiare Flower, Lavender, Orange Blossom, Magnolia, Jasmine","Coconut, Vanilla, Myrrh, Vetiver, Sandalwood, Amber"
Sensuous Parfum,Estee Lauder,"Ylang-ylang, Lily, Jasmine, Magnolia","Amber, Woodsy Notes","Sandalwood, White Honey, Pepper, Mandarin Orange"
Musc Ravageur,Frederic Malle,"Lavender, Tangerine, Bergamot","Cinnamon, Cloves","Musk, Vanilla, Tonka Bean, Amber, Sandalwood, Guaiac Wood, Cedar"
Armani Code Summer Pour Homme 2011,Giorgio Armani,"Grapefruit, Bergamot, Neroli, Sea Water","Olive Leaf, Rose, Tarragon, Virginia Cedar","Amber, Musk, Guaiac Wood, Oak Moss"
Armani Prive Jahwara Oriental,Giorgio Armani,"Incense, Spices, Myrhh, Iris","Opoponax, Labdanum, Ambroxan","Bourbon Vanilla, Amberwood, Guaiac Wood, Cedar"
Emporio Armani Stronger with You Tobacco,Giorgio Armani,"Black Pepper, Pink Pepper, Cardamom, Sage, Elemi","Tobacco, Chili Pepper, Chestnut, Cinnamon Leaf","Bourbon Vanilla, Amber, Guaiac Wood, Benzoin"
Armani Prive Rouge Malachite,Giorgio Armani,"Tuberose, Pink Pepper, Clary Sage","Tuberose, Jasmine Sambac, Ylang-ylang, Benzoin, Cashmeran, Orange Blossom","Tuberose, Amber"
Acqua Di Parma Blu Mediterraneo Ginepro Di Sardegna,Acqua Di Parma,"Juniper, Allspice, Pepper, Nutmeg, Bergamot","Cypress, Sage",Virginia Cedar
Beach Hut Man,Amouage,"Mint, Galbanum, Orange Blossom","Ivy, Vetiver, Moss","Woody Notes, Myrrh, Patchouli"
Givenchy Lights,Givenchy,"Melon, Mint, Yuzu, Violet Leaf","Lime (linden) Blossom, Peony","Musk, Woody Notes, White Amber"
Harvest 2008 Amarige Ylang Ylang,Givenchy,"Ylang-ylang, Petitgrain, Almond, Neroli","White Flowers, Mimosa",Woodsy Notes
Equivoque,Givenchy,Guatemalan Cardamom,"Atlas Cedar, Virginian Cedar, Guaiac Wood",Agarwood (oud)
Organza Eau D Ete Parfumee,Givenchy,"Green Notes, Bergamot, Gardenia, Grapes, Neroli","Walnut, Tuberose, Peony, Jasmine, Honeysuckle, Iris","Woody Notes, Vanilla, Amber, Guaiac Wood, Cedar"
Very Irresistible for Men,Givenchy,"Mint, Grapefruit","Coffee, Sesame","Hazelnut, Virginia Cedar"
Damascus,Gritti,"Cinnamon, Orange, Neroli","Myrrh, Tobacco, Sandalwood","Patchouli, Amber"
Aroma Allegoria Aromaparfum Apaisant,Guerlain,"Freesia, Wormwood","Lime (linden) Blossom, Chamomile, Mimosa, Ylang-ylang",Vanilla
L Instant De Guerlain Fleur De Mandarine,Guerlain,"Mandarin Orange, Bitter Orange, Bergamot","Mandarin Blossom, Black Currant, Magnolia, Hiacynth","Vanilla, Cedar, Musk"
L Instant De Guerlain Pour Homme Cristaux D Agrumes,Guerlain,"Grapefruit, Petitgrain, Italian Lemon, Bergamot","Patchouli, Citruses","Amber, Exotic Woods, Cedar"
Eau De Cologne Du Coq,Guerlain,"Neroli, Bergamot, Citruses, Lemon, Orange","Lavender, Jasmine, Patchouli","Oakmoss, Sandalwood"
L Heure Bleue Eau De Toilette,Guerlain,"Aromatic Spices, Bergamot","Violet, Carnation, Neroli, Tuberose, Rose","Iris, Benzoin, Vanilla, Tonka Bean"
Nahema,Guerlain,"Rose, Peach, Aldehydes, Green Notes, Bergamot","Bulgarian Rose, Hiacynth, Ylang-ylang, Lilac, Jasmine, Lily-of-the-valley","Peru Balsam, Sandalwood, Passionfruit, Vanilla, Vetiver"
Hiris,Hermes,"Iris, Coriander, Carnation, Amber","Iris, Neroli, Rose","Cedar, Almond Tree, Honey, Vanilla"
Classique Eau De Parfum,Jean Paul Gaultier,"Rum, Tincture of Rose","Vanilla Orchid, Narcissus","Vanille, Amber, Tonka Bean, Sandalwood"
Scandal by Night,Jean Paul Gaultier,"Honey, Bitter Orange, Citruses","Cherry, Tuberose, Orange Blossom, Pear, Nard Himalayan (jatamansi)","Tonka Bean, Vanilla, Patchouli, Sandalwood, Amberwood, White Musk"
